"letter in lower case","number of letters in any case","number of letter in uppercase","% of letter in all letters"
"n","34","15","5.08%"
"e","94","0","14.33%"
"w","43","5","6.47%"
"s","70","18","10.63%"
"a","54","9","8.17%"
"l","19","0","2.77%"
"x","6","0","0.77%"
"z","2","0","0.15%"
"c","20","2","2.93%"
"j","3","0","0.31%"
"m","17","2","2.47%"
"k","15","0","2.16%"
"p","9","9","1.23%"
"r","30","0","4.47%"
"i","25","0","3.70%"
"v","19","10","2.77%"
"t","43","2","6.47%"
"d","35","0","5.24%"
"h","17","0","2.47%"
"f","8","5","1.08%"
"o","58","0","8.78%"
"g","16","2","2.31%"
"b","12","2","1.69%"
